"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 23 11:39:36 BOT 2021","Thu Sep 23 11:39:38 BOT 2021","1627","","ThinkingTest","","ThinkingTest","verifyStatusIs401WhenInvalidTokenTest","Status code 401 when send invalid token","Verify that the user receives response status code 401 when sends a request with a invalid token."
"passed","Thu Sep 23 11:38:46 BOT 2021","Thu Sep 23 11:38:48 BOT 2021","1645","","ThinkingTest","","ThinkingTest","verifyThatSessionNumberInContactIsIntegerTest","Session number in contact is integer","Verify that the session number of a new contact is integer"
"failed","Thu Sep 23 11:40:01 BOT 2021","Thu Sep 23 11:40:02 BOT 2021","717","","ThinkingTest","","ThinkingTest","addUserSuccessfullyTest","Post add user response 201","Verify that the user receives status code 201 when their register is successful."
"passed","Thu Sep 23 11:39:02 BOT 2021","Thu Sep 23 11:39:04 BOT 2021","1888","","ThinkingTest","","ThinkingTest","verifyResponseInAddContactWhenUseInvalidTokenTest","Error message when send invalid token","Verify that user receive invalid status code 401 when use invalid token"
"passed","Thu Sep 23 11:38:32 BOT 2021","Thu Sep 23 11:38:46 BOT 2021","13735","","ThinkingTest","","ThinkingTest","verifyResponseStatus200WhenUpdateContactTest","Statud code 200 when updated a contact","Verify that the user receives status code 200 when the request update is successful."
"passed","Thu Sep 23 11:39:58 BOT 2021","Thu Sep 23 11:40:00 BOT 2021","2010","","ThinkingTest","","ThinkingTest","deleteContactWithoutTokenUserTest","Delete contact - Status code 401 whit valid id","Verify that the user receives status code 401 if request delete a contact with a empty token"
"passed","Thu Sep 23 11:40:00 BOT 2021","Thu Sep 23 11:40:01 BOT 2021","808","","ThinkingTest","","ThinkingTest","loginUserWithValidCredentialsTest","Post login user with valid credentials","Verify that user receives a status code 200  when request login with valid Credentials"
"passed","Thu Sep 23 11:38:48 BOT 2021","Thu Sep 23 11:38:49 BOT 2021","1460","","ThinkingTest","","ThinkingTest","verifyStatusCode401WithInvalidCredentialsTest","Get user with invalid token","Verify that the user receives a status code 401 when  sends a request with the invalid token"
"passed","Thu Sep 23 11:39:00 BOT 2021","Thu Sep 23 11:39:02 BOT 2021","1506","","ThinkingTest","","ThinkingTest","verifyResponseJsonIsNotNullTest","Response json is not null","Verify that the user receives json when sends a update with a valid token."
"passed","Thu Sep 23 11:39:57 BOT 2021","Thu Sep 23 11:39:58 BOT 2021","697","","ThinkingTest","","ThinkingTest","verifyIfReceiveErrorMessageWhenUseTokenEmptyTest","Error message when use token empty","Verify that the user receive a message when use an token empty for request logout"
"passed","Thu Sep 23 11:40:05 BOT 2021","Thu Sep 23 11:40:07 BOT 2021","1706","","ThinkingTest","","ThinkingTest","deleteUserTest","Delete User - Status code 200 whit a valid token","Verify that the user receives status code 200 when sends a DELETE user request with a valid token"
"passed","Thu Sep 23 11:40:02 BOT 2021","Thu Sep 23 11:40:03 BOT 2021","1404","","ThinkingTest","","ThinkingTest","verifyStatusCodeWhenUseInvalidTokenTest","Status code 401 when use invalid token","Verify that user receives a status code 401 when request logout with invalid token"
"passed","Thu Sep 23 11:39:49 BOT 2021","Thu Sep 23 11:39:52 BOT 2021","2977","","ThinkingTest","","ThinkingTest","deleteContactWhitInvalidTokenUserTest","Delete contact - Status code 401 whit invalid token","Verify that the user receives  status code 401 if requested to delete a contact  with invalid token."
"failed","Thu Sep 23 11:38:49 BOT 2021","Thu Sep 23 11:38:50 BOT 2021","882","","ThinkingTest","","ThinkingTest","matchFirsNameWhenAddUserSuccessfullyTest","Post add user - verify firstName","Verify that the json response contains the same firstName that the user registered "
"passed","Thu Sep 23 11:38:53 BOT 2021","Thu Sep 23 11:38:55 BOT 2021","1603","","ThinkingTest","","ThinkingTest","UpdateUserFirstName","Match user first name with valid token","Verify that the response json content the same first name that the user updated"
"passed","Thu Sep 23 11:39:42 BOT 2021","Thu Sep 23 11:39:44 BOT 2021","1512","","ThinkingTest","","ThinkingTest","getResponseWhenAddContactSuccessfullyTest","Response json contain the same birthdate","Verify that the response contains the same birthdate as the contact registered"
